#TYPE System.Management.Automation.PSCustomObject
"FolderName","AD Group or User","Permissions","Acces Control","Inherited"
"C:\unit7asiggment\entiry_compary\New Text Document (2).txt","DESKTOP-J3JNGH0\training.department","CreateFiles, WriteExtendedAttributes, WriteAttributes, ReadAndExecute, Synchronize","Allow","True"
"C:\unit7asiggment\entiry_compary\New Text Document (2).txt","DESKTOP-J3JNGH0\sales.department","CreateFiles, WriteExtendedAttributes, WriteAttributes, ReadAndExecute, Synchronize","Allow","True"
"C:\unit7asiggment\entiry_compary\New Text Document (2).txt","BUILTIN\Administrators","FullControl","Allow","True"
"C:\unit7asiggment\entiry_compary\New Text Document (2).txt","NT AUTHORITY\SYSTEM","FullControl","Allow","True"
"C:\unit7asiggment\entiry_compary\sofia - Copy.txt","DESKTOP-J3JNGH0\training.department","CreateFiles, WriteExtendedAttributes, WriteAttributes, ReadAndExecute, Synchronize","Allow","True"
"C:\unit7asiggment\entiry_compary\sofia - Copy.txt","DESKTOP-J3JNGH0\sales.department","CreateFiles, WriteExtendedAttributes, WriteAttributes, ReadAndExecute, Synchronize","Allow","True"
"C:\unit7asiggment\entiry_compary\sofia - Copy.txt","BUILTIN\Administrators","FullControl","Allow","True"
"C:\unit7asiggment\entiry_compary\sofia - Copy.txt","NT AUTHORITY\SYSTEM","FullControl","Allow","True"
"C:\unit7asiggment\entiry_compary\sofia.txt","DESKTOP-J3JNGH0\training.department","CreateFiles, WriteExtendedAttributes, WriteAttributes, ReadAndExecute, Synchronize","Allow","True"
"C:\unit7asiggment\entiry_compary\sofia.txt","DESKTOP-J3JNGH0\sales.department","CreateFiles, WriteExtendedAttributes, WriteAttributes, ReadAndExecute, Synchronize","Allow","True"
"C:\unit7asiggment\entiry_compary\sofia.txt","BUILTIN\Administrators","FullControl","Allow","True"
"C:\unit7asiggment\entiry_compary\sofia.txt","NT AUTHORITY\SYSTEM","FullControl","Allow","True"
"C:\unit7asiggment\entiry_compary\key_Account_RB\newRyan","DESKTOP-J3JNGH0\Miriam_RB","ReadAndExecute","Deny","True"
"C:\unit7asiggment\entiry_compary\key_Account_RB\newRyan","DESKTOP-J3JNGH0\training.department","Write","Deny","True"
"C:\unit7asiggment\entiry_compary\key_Account_RB\newRyan","DESKTOP-J3JNGH0\training.department","CreateFiles, WriteExtendedAttributes, WriteAttributes, ReadAndExecute, Synchronize","Allow","True"
"C:\unit7asiggment\entiry_compary\key_Account_RB\newRyan","DESKTOP-J3JNGH0\sales.department","CreateFiles, WriteExtendedAttributes, WriteAttributes, ReadAndExecute, Synchronize","Allow","True"
"C:\unit7asiggment\entiry_compary\key_Account_RB\newRyan","BUILTIN\Administrators","FullControl","Allow","True"
"C:\unit7asiggment\entiry_compary\key_Account_RB\newRyan","NT AUTHORITY\SYSTEM","FullControl","Allow","True"
"C:\unit7asiggment\entiry_compary\key_Account_RB\confidential.xml","DESKTOP-J3JNGH0\training.department","Read","Deny","False"
"C:\unit7asiggment\entiry_compary\key_Account_RB\confidential.xml","DESKTOP-J3JNGH0\Miriam_RB","ReadAndExecute","Deny","True"
"C:\unit7asiggment\entiry_compary\key_Account_RB\confidential.xml","DESKTOP-J3JNGH0\training.department","Write","Deny","True"
